over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
0,0,19,10,4,66.66666666666666,0.0,K Rabada
1,0,18,10,10,125.0,50.0,Arshdeep Singh
2,0,17,10,26,266.66666666666663,0.0,K Rabada
3,-1,16,8,28,100.0,0.0,Arshdeep Singh
4,-1,15,7,39,142.85714285714286,0.0,SM Curran
5,0,14,7,40,50.0,0.0,HV Patel
6,0,13,7,47,100.0,100.0,Harpreet Brar
7,0,12,7,56,125.0,200.0,SM Curran
8,0,11,7,61,75.0,100.0,Harpreet Brar
9,0,10,6,66,100.0,50.0,HV Patel
10,0,9,6,81,275.0,200.0,Harpreet Brar
11,0,8,6,90,200.0,50.0,K Rabada
12,0,7,6,100,233.33333333333334,100.0,SM Curran
13,-1,6,5,111,0.0,100.0,HV Patel
14,0,5,5,133,366.66666666666663,0.0,Harpreet Brar
15,0,4,5,146,240.0,100.0,HV Patel
16,0,3,3,152,133.33333333333331,0.0,Arshdeep Singh
17,-1,2,2,156,50.0,0.0,K Rabada
18,-1,1,2,171,150.0,220.00000000000003,Arshdeep Singh
19,0,0,1,182,100.0,100.0,SM Curran
0,0,19,10,1,0.0,0.0,B Kumar
1,0,18,9,2,50.0,0.0,PJ Cummins
2,0,17,8,11,250.0,100.0,B Kumar
3,0,16,8,14,66.66666666666666,33.33333333333333,PJ Cummins
4,0,15,7,20,150.0,0.0,B Kumar
5,0,14,7,27,116.66666666666667,0.0,T Natarajan
6,0,13,7,40,166.66666666666669,266.66666666666663,Nithish Kumar Reddy
7,0,12,7,49,200.0,50.0,JD Unadkat
8,0,11,7,58,160.0,100.0,Nithish Kumar Reddy
9,0,10,6,66,0.0,100.0,T Natarajan
10,0,9,6,74,175.0,50.0,JD Unadkat
11,0,8,6,84,100.0,200.0,Shahbaz Ahmed
12,0,7,6,91,50.0,250.0,PJ Cummins
13,0,6,5,97,0.0,100.0,JD Unadkat
14,0,5,5,105,100.0,150.0,T Natarajan
